iter	Passed	Remaining
923	4410	362
924	4414	357
925	4419	353
926	4424	348
927	4428	343
928	4433	338
929	4438	334
930	4442	329
931	4448	324
932	4452	319
933	4457	314
934	4461	310
935	4466	305
936	4471	300
937	4476	295
938	4481	291
939	4486	286
940	4490	281
941	4495	276
942	4499	272
943	4504	267
944	4508	262
945	4513	257
946	4518	252
947	4522	248
948	4527	243
949	4532	238
950	4536	233
951	4541	228
952	4545	224
953	4550	219
954	4555	214
955	4560	209
956	4565	205
957	4570	200
958	4575	195
959	4579	190
960	4584	186
961	4588	181
962	4593	176
963	4598	171
964	4603	166
965	4607	162
966	4611	157
967	4616	152
968	4621	147
969	4625	143
970	4630	138
971	4635	133
972	4639	128
973	4644	123
974	4648	119
975	4652	114
976	4657	109
977	4662	104
978	4666	100
979	4671	95
980	4676	90
981	4680	85
982	4685	81
983	4691	76
984	4695	71
985	4700	66
986	4705	61
987	4710	57
988	4715	52
989	4721	47
990	4727	42
991	4731	38
992	4737	33
993	4743	28
994	4748	23
995	4752	19
996	4756	14
997	4760	9
998	4765	4
999	4770	0
